City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port-gentil,-0.7193,8.7815,22.98,94,100,3.6,GA,1687222608
84,freetown,8.484,-13.2299,26.84,83,75,4.63,SL,1687222609
85,witu,-2.3889,40.4382,25.09,80,51,4.36,KE,1687222609
86,tiksi,71.6872,128.8694,8.56,81,100,3.97,RU,1687222609
87,howard springs,-12.497,131.047,28.23,49,58,3.92,AU,1687222609
88,sao jose da coroa grande,-8.8978,-35.1478,24.72,85,73,2.6,BR,1687222609
89,luanda,-8.8368,13.2343,22.0,83,75,1.54,AO,1687222609
90,port lincoln,-34.7333,135.8667,13.02,61,11,5.29,AU,1687222610
91,ha'il,27.5219,41.6907,28.01,24,0,2.06,SA,1687222328
92,mawlaik,23.6333,94.4167,25.08,92,100,0.66,MM,1687222610
93,atafu village,-8.5421,-172.5159,28.2,68,14,4.51,TK,1687222610
94,vrangel',42.7297,133.0839,17.75,72,100,2.31,RU,1687222610
95,chonchi,-42.6128,-73.8092,3.77,83,0,0.37,CL,1687222610
96,aljezur,37.3191,-8.8033,18.01,96,30,3.08,PT,1687222610
97,grand-bassam,5.2118,-3.7388,25.98,89,100,3.8,CI,1687222611
98,inirida,3.8653,-67.9239,22.49,95,40,0.45,CO,1687222611
99,penhalonga,-18.8911,32.6978,9.59,37,0,1.3,ZW,1687222611
100,bilibino,68.0546,166.4372,18.11,42,46,8.71,RU,1687222611
101,chhindwara,22.0667,78.9333,28.27,52,100,4.76,IN,1687222549
102,stanley,54.868,-1.6985,14.94,90,0,1.03,GB,1687222442
103,prince rupert,54.3161,-130.3201,19.83,90,20,8.23,CA,1687222611
104,elliot lake,46.3834,-82.6331,16.16,66,6,0.86,CA,1687222610
105,uturoa,-16.7333,-151.4333,26.88,76,6,2.82,PF,1687222612
106,gizo,-8.103,156.8419,28.12,75,100,1.6,SB,1687222612
107,lenino,45.2986,35.7771,20.3,77,86,4.27,UA,1687222612
108,kirakira,-10.4544,161.9205,28.17,80,100,2.13,SB,1687222612
109,kerikeri,-35.2268,173.9474,16.06,88,21,2.36,NZ,1687222613
110,cole harbour,44.6724,-63.4751,12.18,84,100,5.66,CA,1687222613
111,bikenibeu village,1.3673,173.1241,28.98,79,75,2.06,KI,1687222613
112,constantia,44.1833,28.65,17.61,84,29,3.54,RO,1687222473
113,vilyuchinsk,52.9306,158.4028,9.15,90,100,0.45,RU,1687222613
114,san-pedro,4.7485,-6.6363,24.39,93,93,3.71,CI,1687222613
115,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,93,75,3.0,RU,1687222614
116,massawa,15.6097,39.45,30.75,74,53,1.84,ER,1687222614
117,hawaiian paradise park,19.5933,-154.9731,25.73,87,75,4.63,US,1687222558
118,prince albert,53.2001,-105.7677,21.97,30,20,10.29,CA,1687222479
119,nar'yan-mar,67.6713,53.087,3.8,79,24,3.96,RU,1687222614
120,hotan,37.0997,79.9269,28.05,17,0,1.54,CN,1687222614
121,peterhead,57.5058,-1.7981,14.14,92,0,5.03,GB,1687222614
122,oliver,49.1831,-119.5524,16.14,63,100,1.03,CA,1687222483
123,gombi,10.1614,12.7399,22.05,82,100,2.26,NG,1687222615
124,longyearbyen,78.2186,15.6401,4.91,87,75,1.03,SJ,1687222615
125,coyhaique,-45.5752,-72.0662,-1.05,75,1,1.0,CL,1687222615
126,puerto ayora,-0.7393,-90.3518,25.31,92,3,2.68,EC,1687222615
127,essaouira,31.5125,-9.77,21.72,85,40,1.54,MA,1687222615
128,apomu,7.3333,4.1833,24.92,99,100,0.74,NG,1687222616
129,praia,14.9215,-23.5087,25.3,78,20,4.12,CV,1687222616
130,wailua homesteads,22.0669,-159.378,28.24,72,0,5.14,US,1687222616
131,west island,-12.1568,96.8225,25.99,89,75,2.57,CC,1687222616
132,nuuk,64.1835,-51.7216,6.34,75,75,2.06,GL,1687222584
133,hailar,49.2,119.7,19.87,60,100,2.97,CN,1687222616
134,nyurba,63.2842,118.3319,8.2,89,100,5.47,RU,1687222617
135,port augusta,-32.5,137.7667,13.5,57,100,2.35,AU,1687222617
136,veraval,20.9,70.3667,29.3,71,100,4.79,IN,1687222141
137,port alfred,-33.5906,26.891,8.99,74,45,2.24,ZA,1687222617
138,inhambupe,-11.7844,-38.3531,20.6,98,61,3.16,BR,1687222336
139,moree,-29.4667,149.85,13.3,38,89,5.05,AU,1687222617
140,luchegorsk,46.4764,134.2569,23.24,58,100,1.53,RU,1687222617
141,loushanguan,28.1375,106.82,23.77,74,16,1.09,CN,1687222618
142,ulsteinvik,62.3432,5.8487,18.84,84,92,2.18,NO,1687222618
143,sechura,-5.5569,-80.8222,23.56,71,1,7.46,PE,1687222618
144,nova vicosa,-17.8919,-39.3719,23.05,68,0,6.49,BR,1687222618
145,ketchikan,55.3422,-131.6461,21.26,49,0,4.12,US,1687222478
146,devecser,47.1032,17.438,21.18,83,14,1.04,HU,1687222618
147,fortaleza,-3.7227,-38.5247,28.07,78,40,3.09,BR,1687222419
148,chake chake,-5.2459,39.7666,23.79,82,0,3.15,TZ,1687222619
149,phalodi,27.1333,72.3667,29.63,67,0,6.9,IN,1687222619
150,leiyang,26.4024,112.8591,29.4,78,96,2.04,CN,1687222619
151,aghajari,30.7006,49.8315,30.82,15,0,3.7,IR,1687222619
152,ulety,51.3572,112.4849,22.51,29,0,5.93,RU,1687222619
153,candelaria,13.9311,121.4233,29.66,68,96,0.55,PH,1687222620
154,berdigestyakh,62.0989,126.6992,20.03,59,100,2.76,RU,1687222620
155,cabo san lucas,22.8909,-109.9124,34.61,19,75,5.14,MX,1687221952
156,winnemucca,40.973,-117.7357,18.03,17,0,7.2,US,1687222620
157,nhamunda,-2.1861,-56.7131,24.72,80,23,0.39,BR,1687222620
158,trenggalek,-8.05,111.7167,26.29,82,9,0.66,ID,1687222620
159,nema,57.5067,50.5011,3.36,94,11,2.36,RU,1687222621
160,georgetown,5.4112,100.3354,28.96,94,20,2.06,MY,1687222477
161,keflavik,64.0049,-22.5624,10.95,87,0,6.17,IS,1687222621
162,badger,64.8,-147.5333,20.84,43,40,3.09,US,1687222621
163,puerto armuelles,8.2833,-82.8667,28.99,74,100,2.24,PA,1687222621
